name,tdp
AMD Phenom 8750B Triple-Core,95.0
AMD Phenom 8850 Triple-Core,95.0
AMD Phenom 8850B Triple-Core,95.0
AMD Phenom 9100e Quad-Core,65.0
AMD Phenom 9150e Quad-Core,65.0
AMD Phenom 9350e Quad-Core,65.0
AMD Phenom 9450e Quad-Core,65.0
AMD Phenom 9500 Quad-Core,95.0
AMD Phenom 9550 Quad-Core,95.0
AMD Phenom 9600 Quad-Core,95.0
AMD Phenom 9600B Quad-Core,95.0
AMD Phenom 9650 Quad-Core,95.0
AMD Phenom 9750 Quad-Core,125.0
AMD Phenom 9750B Quad-Core,95.0
AMD Phenom 9850 Quad-Core,125.0
AMD Phenom 9850B Quad-Core,95.0
AMD Phenom 9950 Quad-Core,125.0
AMD Phenom FX-5000 Quad-Core,65.0
AMD Phenom FX-5200 Quad-Core,65.0
AMD Phenom II N620 Dual-Core,35.0
AMD Phenom II N640 Dual-Core,35.0
AMD Phenom II N660 Dual-Core,35.0
AMD Phenom II N830 3+1,35.0
AMD Phenom II N830 Triple-Core,35.0
AMD Phenom II N850 Triple-Core,35.0
AMD Phenom II N870 Triple-Core,35.0
AMD Phenom II N930 Quad-Core,35.0
AMD Phenom II N950 Quad-Core,35.0
AMD Phenom II N970 Quad-Core,35.0
AMD Phenom II P650 Dual-Core,35.0
AMD Phenom II P820 Triple-Core,25.0
AMD Phenom II P840 Triple-Core,35.0
AMD Phenom II P860 Triple-Core,35.0
AMD Phenom II P920 Quad-Core,25.0
AMD Phenom II P940 Quad-Core,35.0
AMD Phenom II P960 Quad-Core,35.0
AMD Phenom II X2 511,65.0
AMD Phenom II X2 521,65.0
AMD Phenom II X2 545,80.0
AMD Phenom II X2 550,80.0
AMD Phenom II X2 555,80.0
AMD Phenom II X2 560,80.0
AMD Phenom II X2 565,80.0
AMD Phenom II X2 570,80.0
AMD Phenom II X2 B53,80.0
AMD Phenom II X2 B55,80.0
AMD Phenom II X2 B57,80.0
AMD Phenom II X2 B59,80.0
AMD Phenom II X3 700e,65.0
AMD Phenom II X3 705e,65.0
AMD Phenom II X3 710,95.0
AMD Phenom II X3 720,95.0
AMD Phenom II X3 740,95.0
AMD Phenom II X3 B73,95.0
AMD Phenom II X3 B75,95.0
AMD Phenom II X3 B77,95.0
